,French,English
0,partie,part
1,histoire,history
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,mois,month
7,frère,brother
8,mettre,to put
9,aucun,no
10,laisse,leash
11,eux,them
12,parlé,come
13,arrivé,should
14,devrait,baby
15,bébé,long time
16,longtemps,will
17,vont,while
18,pendant,meet again
19,revoir,any
20,aucune,speak
21,compris,understood
22,savais,knew
23,étaient,were
24,voici,here is
25,pourrais,could
26,donner,give
27,type,type
28,leurs,their
29,donné,given
30,endroit,place
31,yeux,eyes
32,façon,way
33,dont,whose
34,trouve,find
35,premier,lost
36,perdu,hand
37,côté,side
38,pouvoir,power
39,vieux,old
40,sois,be
41,tiens,here
42,matin,morning
43,point,point
44,venu,came
45,suite,after
46,venez,come
47,vers,towards
48,demandé,request
49,chambre,bedroom
50,mis,placed
51,droit,law
52,aimerais,would like to
53,aujourd'hui,today
54,cause,cause
55,espère,hope
56,eau,water
57,attendez,Wait
58,nouvelle,new
59,boulot,job
60,dirait,would say
61,compte,account
62,donne,given
63,loin,far
64,croire,believe
65,chérie,sweetheart
66,gros,large
67,plutôt,rather
68,filles,girls
69,bureau,office
